tempName,Redshift,SFH_mburst,SFH_mpeak,SFH_mperiod,SFH_mskew,SFH_mSFR,Zfinal,tau_screen,veldisp,SFR,logmstar
z_1e-04_mburst_0_mpeak_-0.1_mperiod_0.1_mskew_-0.7_Zfinal_1e-04_tau_screen_0_velDisp_100,1e-04,0,-0.1,0.1,-0.7,1,1e-04,0,100,0.79117361467881,8.96632280183143
z_1e-04_mburst_0_mpeak_-0.1_mperiod_0.1_mskew_-0.7_Zfinal_1e-04_tau_screen_1.2_velDisp_100,1e-04,0,-0.1,0.1,-0.7,1,1e-04,1.2,100,0.79117361467881,8.96632280183143
z_1e-04_mburst_0_mpeak_-0.1_mperiod_0.1_mskew_-0.7_Zfinal_1e-04_tau_screen_2.1_velDisp_100,1e-04,0,-0.1,0.1,-0.7,1,1e-04,2.1,100,0.79117361467881,8.96632280183143
z_1e-04_mburst_0_mpeak_-0.1_mperiod_0.1_mskew_-0.7_Zfinal_0.008_tau_screen_0_velDisp_100,1e-04,0,-0.1,0.1,-0.7,1,0.008,0,100,0.79117361467881,8.97912692558727
z_1e-04_mburst_0_mpeak_-0.1_mperiod_0.1_mskew_-0.7_Zfinal_0.008_tau_screen_1.2_velDisp_100,1e-04,0,-0.1,0.1,-0.7,1,0.008,1.2,100,0.79117361467881,8.97912692558727
z_1e-04_mburst_0_mpeak_-0.1_mperiod_0.1_mskew_-0.7_Zfinal_0.008_tau_screen_2.1_velDisp_100,1e-04,0,-0.1,0.1,-0.7,1,0.008,2.1,100,0.79117361467881,8.97912692558727
z_1e-04_mburst_0_mpeak_-0.1_mperiod_0.1_mskew_-0.7_Zfinal_0.1_tau_screen_0_velDisp_100,1e-04,0,-0.1,0.1,-0.7,1,0.1,0,100,0.79117361467881,8.98397438441527
z_1e-04_mburst_0_mpeak_-0.1_mperiod_0.1_mskew_-0.7_Zfinal_0.1_tau_screen_1.2_velDisp_100,1e-04,0,-0.1,0.1,-0.7,1,0.1,1.2,100,0.79117361467881,8.98397438441527
z_1e-04_mburst_0_mpeak_-0.1_mperiod_0.1_mskew_-0.7_Zfinal_0.1_tau_screen_2.1_velDisp_100,1e-04,0,-0.1,0.1,-0.7,1,0.1,2.1,100,0.79117361467881,8.98397438441527
z_1e-04_mburst_0_mpeak_-0.1_mperiod_0.1_mskew_0_Zfinal_1e-04_tau_screen_0_velDisp_100,1e-04,0,-0.1,0.1,0,1,1e-04,0,100,0.332125608277709,7.48904778201599
